bgrf_id	mimotext_id	column	text	keyword	property	concept	concept_id
96.41	Q2542	r_s	réflexions morales	morale	P39	morale	Q3921 
96.52	Q2551	r_s	sensibilité, ton moralisateur	ton moralisateur	P39	morale	Q3921 
97.73	Q2594	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
98.1	Q2596	r_s	peinture des mœurs, observations morales, sensibilité	morale	P39	morale	Q3921 
98.19	Q2601	r_s	sensibilité, ton moralisateur	ton moralisateur	P39	morale	Q3921 
98.65	Q2623	r_s	prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
98.81	Q2633	r_s	sensibilité, prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
99.109	Q2647	r_s	sensibilité, intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
99.118	Q2656	r_s	intentions moralisatrices et philosophiques	intentions moralisatrices et philosophiques	P39	morale	Q3921 
99.129	Q2666	r_s	sensibilité, intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
99.133	Q2668	r_s	prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
99.136	Q2671	r_s	sensibilité, ton moralisateur	ton moralisateur	P39	morale	Q3921 
99.148	Q2681	r_s	ton mondain et moralisateur	ton mondain et moralisateur	P39	morale	Q3921 
99.158	Q2688	r_s	critique sociale, ton moralisateur et sensible	ton moralisateur	P39	morale	Q3921 
99.167	Q2693	r_s	sensibilité, prétentions moralisatrices	prétentions moralisatrices	P39	morale	Q3921 
99.20	Q2701	r_s	ton moralisateur	ton moralisateur	P39	morale	Q3921 
99.3	Q2709	r_s	ton sentimental et moralisateur	ton sentimental et moralisateur	P39	morale	Q3921 
99.40	Q2720	r_s	conte moral	conte moral	P39	morale	Q3921 
99.6	Q2732	r_s	ton voluptueux mais moralisateur	ton voluptueux mais moralisateur	P39	morale	Q3921 
99.60	Q2733	r_s	ton sombre et moralisateur	ton sombre et moralisateur	P39	morale	Q3921 
51.42	Q1010	r_s	but moralisateur.	but moralisateur	P39	morale	Q3921 
58.13	Q1017	r_s	réflexions morales.	morale	P39	morale	Q3921 
74.15	Q1043	r_s	sensibilité, vertu, prétentions moralisatrices.	prétentions moralisatrices	P39	morale	Q3921 
77.57	Q1049	r_s	observations sur les mœurs.	observations sur les mœurs	P39	morale	Q3921 
84.58	Q1065	r_s	sensibilité, intentions moralisatrices, tendances réalistes.	intentions moralisatrices	P39	morale	Q3921 
87.25	Q1070	r_s	fin moralisatrice.	fin moralisatrice	P39	morale	Q3921 
89.81	Q1076	r_s	prétentions moralisatrices.	prétentions moralisatrices	P39	morale	Q3921 
00.49	Q1171	r_s	thèmes pédagogiques et philosophiques	thèmes pédagogiques et philosophiques	P39	philosophie	Q3922 
00.66	Q1188	r_s	ton satirique, thèmes philosophiques, sensibilité	thèmes philosophiques	P39	philosophie	Q3922 
58.1	Q1376	r_s	ton satirique, réflexions philosophiques	réflexions philosophiques	P39	philosophie	Q3922 
58.15	Q1378	r_s	réflexions philosophiques, sensibilité	réflexions philosophiques	P39	philosophie	Q3922 
59.10	Q1388	r_s	thèmes philosophiques	thèmes philosophiques	P39	philosophie	Q3922 
59.7	Q1399	r_s	thèmes philosophiques	thèmes philosophiques	P39	philosophie	Q3922 
60.29	Q1414	r_s	thèmes philosophiques	thèmes philosophiques	P39	philosophie	Q3922 
63.42	Q1483	r_s	remarques sur les mœurs, les institutions, thèmes philosophiques, ton satirique	thèmes philosophiques	P39	philosophie	Q3922 
65.14	Q1520	r_s	thèmes philosophiques	thèmes philosophiques	P39	philosophie	Q3922 
66.21	Q1566	r_s	ton satirique, thèmes philosophiques	thèmes philosophiques	P39	philosophie	Q3922 
66.35	Q1577	r_s	thèmes philosophiques, sensibilité, mélancolie	thèmes philosophiques	P39	philosophie	Q3922 
68.55	Q1035	r_s	thèmes économiques et philosophiques	thèmes économiques et philosophiques	P39	philosophie	Q3922 
68.56	Q1668	r_s	critique des mœurs, thèmes philosophiques	thèmes philosophiques	P39	philosophie	Q3922 
69.69	Q1715	r_s	critique de l’Eglise, thèmes philosophiques	thèmes philosophiques	P39	philosophie	Q3922 
70.38	Q1739	r_s	thèmes philosophiques	thèmes philosophiques	P39	philosophie	Q3922 
71.22	Q1772	r_s	considérations philosophiques	considérations philosophiques	P39	philosophie	Q3922 
71.39	Q1783	r_s	roman d’éducation, thèmes philosophiques	thèmes philosophiques	P39	philosophie	Q3922 
72.16	Q1798	r_s	thèmes philosophiques	thèmes philosophiques	P39	philosophie	Q3922 
