id	Spalte	text	Keyword	property	Konzept
70.22	r_s	prétentions moralisatrices, sensibilité	sensibilité	tonality	sensibilité
70.23	r_s	ton facétieux	ton facétieux	tonality	ton léger
70.27	r_s	intentions moralisatrices, sensibilité, mélancolie	mélancolie	tonality	mélancolie
70.27	r_s	intentions moralisatrices, sensibilité, mélancolie	sensibilité	tonality	sensibilité
70.3	r_s	sensibilité, prétentions moralisatrices	sensibilité	tonality	sensibilité
70.30	r_s	couleur locale canadienne	couleur locale	tonality	couleur locale
70.32	r_s	ton satirique	ton satirique	tonality	satire
70.34	r_s	goût pour l’ancienne littérature	goût pour l’ancienne littérature	tonality	vieux langage
70.36	r_s	goût pour l’ancienne littérature	goût pour l’ancienne littérature	tonality	vieux langage
70.43	r_s	sensibilité	sensibilité	tonality	sensibilité
70.45	r_s	ton léger, fin sensible	fin sensible	tonality	sensibilité
70.45	r_s	ton léger, fin sensible	ton léger	tonality	ton léger
70.47	r_s	sensibilité, mélancolie, malheurs	mélancolie	tonality	mélancolie
